Name	Rarity	Type	Sub-Type	Class	Cost	Attack	HP	CanGet	Decription
Polymorph	Free	Spell		Mage	4	-1	-1	true	Transform a minion into a 1/1 Sheep.There was going to be a pun in this flavor text, but it just came out baa-d.
Power Word: Shield	Free	Spell		Priest	1	-1	-1	true	Give a minion +2 Health.Draw a card.Sure the extra protection is nice, but the shield really reduces visibility.
Raid Leader	Free	Minion	General	Any	3	2	2	true	Your other minions have +1 Attack."That's a 50 DKP minus!"
Razorfen Hunter	Free	Minion	General	Any	3	2	3	true	Battlecry: Summon a 1/1 Boar.Someone did mess with Tuskerr once.  ONCE.
Reckless Rocketeer	Free	Minion	General	Any	6	5	2	true	ChargeOne Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.
River Crocolisk	Free	Minion	Beast	Any	2	2	3	true	Edward "Lefty" Smith tried to make luggage out of a river crocolisk once.
Rockbiter Weapon	Free	Spell		Shaman	2	-1	-1	true	Give a friendly character +3 Attack this turn.This would be real handy if your enemy is made of rock.
Sacrificial Pact	Free	Spell		Warlock	0	-1	-1	true	Destroy a Demon. Restore 5 Health to your hero.This is the reason that Demons never really become friends with Warlocks.
Sap	Free	Spell		Rogue	2	-1	-1	true	Return an enemy minion to your opponent's hand.Rogues love sappy movies.
Savage Roar	Free	Spell		Druid	3	-1	-1	true	Give your characters +2 Attack this turn.What do they roar? Nobody can quite tell, but it sounds like "Elephant Macho Breeze".  It's probably not that, though.
Sen'jin Shieldmasta	Free	Minion	General	Any	4	3	5	true	TauntSen'jin Villiage is nice, if you like trolls and dust.
Shadow Bolt	Free	Spell		Warlock	3	-1	-1	true	Deal 4 damage to a minion.It’s a Bolt.   Its made out of Shadow.   What more do you need to know!
Shadow Word: Death	Free	Spell		Priest	3	-1	-1	true	Destroy a minion with an Attack of 5 or more.If you miss, it leaves a lightning-bolt-shaped scar on your target.
Shadow Word: Pain	Free	Spell		Priest	2	-1	-1	true	Destroy a minion with 3 or less Attack.A step up from a spell cast by many beginning  acolytes: "Shadow Word: Annoy".
Shattered Sun Cleric	Free	Minion	General	Any	3	3	2	true	Battlecry: Give a friendly minion +1/+1.They always have a spare flask of Sunwell Energy Drink™!
Shield Block	Free	Spell		Warrior	3	-1	-1	true	Gain 5 Armor.  Draw a card.Shields were invented because Face Block is USELESS.
Shiv	Free	Spell		Rogue	2	-1	-1	true	Deal 1 damage. Draw a card.Rogues are experts at SHIV-al-ry.
Silverback Patriarch	Free	Minion	Beast	Any	3	1	4	true	TauntHe likes to act like he's in charge, but the silverback matriarch actually runs things.
Sinister Strike	Free	Spell		Rogue	1	-1	-1	true	Deal 3 damage to the enemy hero.There's something about this strike that just feels off.  Sinister, even.
Soulfire	Free	Spell		Warlock	1	-1	-1	true	Deal 4 damage. Discard a random card.Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.
Sprint	Free	Spell		Rogue	7	-1	-1	true	Draw 4 cards.Rogues are not good joggers.
Starfire	Free	Spell		Druid	6	-1	-1	true	Deal 5 damage.  Draw a card.Balance is important to druids.  This card is perfectly balanced.
Starving Buzzard	Free	Minion	Beast	Hunter	5	3	2	true	Whenever you summon a Beast, draw a card.If you feed him, he loses his whole identity.
Stonetusk Boar	Free	Minion	Beast	Any	1	1	1	true	ChargeThis card is boaring.
Stormpike Commando	Free	Minion	General	Any	5	4	2	true	Battlecry: Deal 2 damage.The Stormpike Commandos are demolition experts.  They also bake a mean cupcake.
Stormwind Champion	Free	Minion	General	Any	7	6	6	true	Your other minions have +1/+1.When Deathwing assaulted the capital, this soldier was the only member of his squad to survive. Now he's all bitter and stuff.
Stormwind Knight	Free	Minion	General	Any	4	2	5	true	ChargeThey're still embarrassed about "The Deathwing Incident".
Succubus	Free	Minion	Demon	Warlock	2	4	3	true	Battlecry: Discard a random card.Warlocks have it pretty good.
Swipe	Free	Spell		Druid	4	-1	-1	true	Deal 4 damage to an enemy and 1 damage to all other enemies.When a bear rears back and extends his arms, he's about to Swipe!  ... or hug.
Timber Wolf	Free	Minion	Beast	Hunter	1	1	1	true	Your other Beasts have +1 Attack.Other beasts totally dig hanging out with timber wolves.
Totemic Might	Free	Spell		Shaman	0	-1	-1	true	Give your Totems +2 Health.Totem-stomping is no longer recommended.
Tracking	Free	Spell		Hunter	1	-1	-1	true	Look at the top three cards of your deck. Draw one and discard the others.For the person who just cannot decide what card to put in their deck!
Truesilver Champion	Free	Weapon		Paladin	4	4	2	true	Whenever your hero attacks, restore 2 Health to it.It Slices, it Dices. You can cut a tin can with it. (But you wouldn't want to.)
Tundra Rhino	Free	Minion	Beast	Hunter	5	2	5	true	Your Beasts have Charge.Tundra rhinos are often mistaken for kodos. Or am I mistaken?
Vanish	Free	Spell		Rogue	6	-1	-1	true	Return all minions to their owner's hand.
Voidwalker	Free	Minion	Demon	Warlock	1	1	3	true	TauntNo relation to "The Voidsteppers", the popular Void-based dance troupe.
Voodoo Doctor	Free	Minion	General	Any	1	2	1	true	Battlecry: Restore 2 Health.Voodoo is an oft-misunderstood art. But it is art.
War Golem	Free	Minion	General	Any	7	7	7	true	Golems are not afraid, but for some reason they still run when you cast Fear on them.  Instinct, maybe?  A desire to blend in?
Warsong Commander	Free	Minion	General	Warrior	3	2	3	true	Your Charge minions have +1 Attack.The Warsong clan is such drama. It's really not worth it to become a commander.
Water Elemental	Free	Minion	Elemental	Mage	4	3	6	true	Freeze any character damaged by this minion.Don't summon a water elemental at a party.  It'll dampen the mood.
Whirlwind	Free	Spell		Warrior	1	-1	-1	true	Deal 1 damage to ALL minions.The way to tell seasoned warriors from novice ones: the novices yell "wheeeee" while whirlwinding.
Wild Growth	Free	Spell		Druid	2	-1	-1	true	Gain an empty Mana Crystal.Grow your own mana crystals with this Mana Crystal Growth Kit, only 39.99!
Windfury	Free	Spell		Shaman	2	-1	-1	true	Give a minion Windfury.Windfury is like Earthfury and Firefury, but more light and airy.
Windspeaker	Free	Minion	General	Shaman	4	3	3	true	Battlecry: Give a friendly minion Windfury.Is there anything worse than a Windspeaker with halitosis?
Wolfrider	Free	Minion	General	Any	3	3	1	true	ChargeOrcish raiders ride wolves because they are well adapted to harsh environments, and because they are soft and cuddly.
A Light in the Darkness	Common	Spell		Paladin	2	-1	-1	true	Discover a minion. Give it +1/+1.Wait, how can you have a light in the dark? If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?
Aberrant Berserker	Common	Minion	General	Any	4	3	5	true	Enrage: +2 Attack.I berserk, therefore I am.
Abusive Sergeant	Common	Minion	General	Any	1	1	1	true	Battlecry: Give a minion +2 Attack this turn.ADD ME TO YOUR DECK, MAGGOT!
Abyssal Enforcer	Common	Minion	Demon	Warlock	7	6	6	true	Battlecry: Deal 3 damage to all other characters.The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.
Acherus Veteran	Common	Minion	General	Any	1	2	1	true	Battlecry: Give a friendly minion +1 Attack.This is my Runeblade. There are many like it but this one is mine.
Acolyte of Agony	Common	Minion	General	Priest	3	3	3	true	LifestealIt takes many years of practiced study in order to fully master agony.
Acolyte of Pain	Common	Minion	General	Any	3	1	3	true	Whenever this minion takes damage, draw a card.He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.
Adaptation	Common	Spell		Paladin	1	-1	-1	true	Adapt a friendly minion.Pray for salvation. If that fails, pray for extra horns or bigger teeth.
Air Elemental	Common	Minion	Elemental	Shaman	1	2	1	true	Can't be targeted by spells or Hero Powers.Makes a mean puff pastry.
Alleycat	Common	Minion	Beast	Hunter	1	1	1	true	Battlecry: Summon a 1/1 Cat.To be a cool cat in Gadgetzan, you gotta have bling.
Am'gam Rager	Common	Minion	General	Any	3	1	5	true	peerc rewop
Amani Berserker	Common	Minion	General	Any	2	2	3	true	Enrage: +3 AttackIf an Amani berserker asks "Joo lookin' at me?!", the correct response is "Nah, mon".
Ancient Brewmaster	Common	Minion	General	Any	4	5	4	true	Battlecry: Return a friendly minion from the battlefield to your hand.Most pandaren say his brew tastes like yak.  But apparently that's a compliment.
Ancient of Blossoms	Common	Minion	General	Any	6	3	8	true	TauntHis new shampoo is really working!
Animated Berserker	Common	Minion	General	Warrior	1	1	3	true	After you play a minion, deal 1 damage to it.He'd be a lot easier to animate if he would just stand still.
Arathi Weaponsmith	Common	Minion	General	Warrior	4	3	3	true	Battlecry: Equip a 2/2 weapon.50% off fist weapons, limited time only!
Arcane Anomaly	Common	Minion	Elemental	Any	1	2	1	true	Whenever you cast a spell, give this minion +1 Health.He used to get work as a Spatial Anomaly, but he got tired of having his polarity reversed.
Arcane Artificer	Common	Minion	Elemental	Mage	1	1	2	true	Whenever you cast a spell, gain Armor equal to its Cost.Ethereal armor dissipates in 6 hours which can cause extreme awkwardness for first time buyers.
Arcanologist	Common	Minion	General	Mage	2	2	3	true	Battlecry: Draw a Secret from your deck.What did you draw? Shhhh… it’s a secret.
Arcanosmith	Common	Minion	General	Any	4	3	2	true	Battlecry: Summon a 0/5 minion with Taunt.He’s really just a Blacksmith, but he thought the fancy title would bring in more business.
Argent Protector	Common	Minion	General	Paladin	2	2	2	true	Battlecry: Give a friendly minion Divine Shield."I'm not saying you can dodge fireballs.  I'm saying with this shield, you won't have to."
Argent Squire	Common	Minion	General	Any	1	1	1	true	Divine Shield"I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos." - The Argent Dawn Oath
Backstreet Leper	Common	Minion	General	Any	3	3	1	true	Deathrattle: Deal 2 damage to the enemy hero.Quit playing games with his heart. And his fingers. And foot. It's rude.
Barkskin	Common	Spell		Druid	1	-1	-1	true	Give a minion +3 Health. Gain 3 Armor.Make like a tree... and gain armor.
Battle Rage	Common	Spell		Warrior	2	-1	-1	true	Draw a card for each damaged friendly character."You won't like me when I'm angry."
Bearshark	Common	Minion	Beast	Hunter	3	4	3	true	Can't be targeted by spells or Hero Powers."Candygram."
Beckoner of Evil	Common	Minion	General	Any	2	2	3	true	Battlecry: Give your C'Thun +2/+2 (wherever it is).Here, Evil!  C'mon boy!
Benevolent Djinn	Common	Minion	Elemental	Paladin	3	2	4	true	At the end of your turn, restore 3 Health to your hero.Wish #1: funnel cakes. Wish #2: funnel cakes. Wish #3: FUNNEL CAKES.
Betrayal	Common	Spell		Rogue	2	-1	-1	true	Force an enemy minion to deal its damage to the minions next to it.Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.
Big-Time Racketeer	Common	Minion	General	Any	6	1	1	true	Battlecry: Summon a 6/6 Ogre."It'd be a shame if someone disenchanted those Legendaries."
Bilefin Tidehunter	Common	Minion	Murloc	Any	2	2	1	true	Battlecry: Summon a 1/1 Ooze with Taunt.Bile actually makes for surprisingly sturdy fins.
Binding Heal	Common	Spell		Priest	1	-1	-1	true	Restore 5 Health to a minion and your hero.By accepting this healing, you agree to the following terms…
Bladed Cultist	Common	Minion	General	Rogue	1	1	2	true	Combo: Gain +1/+1.He has a poor understanding of the law of diminishing returns.
Blastcrystal Potion	Common	Spell		Warlock	4	-1	-1	true	Destroy a minion and one of your Mana Crystals.There's a fine line between "potion" and "grenade". Wait. Actually, there's not.
Blessing of Wisdom	Common	Spell		Paladin	1	-1	-1	true	Choose a minion.  Whenever it attacks, draw a card.Apparently with wisdom comes the knowledge that you should probably be attacking every turn.
Blood Imp	Common	Minion	Demon	Warlock	1	0	1	true	Stealth. At the end of your turn, give another random friendly minion +1 Health.Imps are content to hide and viciously taunt everyone nearby.
Bloodhoof Brave	Common	Minion	General	Warrior	4	2	6	true	TauntEnrage:+3 Attack.He thought the set was called "Flippers of the Old Cods" and hungrily volunteered to be in it. He is definitely going to get his hearing checked.
Bloodsail Raider	Common	Minion	Pirate	Any	2	2	3	true	Battlecry: Gain Attack equal to the Attack of your weapon."I only plunder on days that end in 'y'."
Bloodworm	Common	Minion	Beast	Any	5	4	4	true	LifestealQueen Lana'thel insists on one of these, fried, every morning for breakfast.
Blowgill Sniper	Common	Minion	Murloc	Any	2	2	1	true	Battlecry: Deal 1 damage.Imagine how much further his darts would go if he had lungs instead of gills!
Bog Creeper	Common	Minion	General	Any	7	6	8	true	TauntHe's tried other things, but bog sidling, bog ambling, and bog trundling just aren't as effective as bog creeping.
Boisterous Bard	Common	Minion	General	Any	3	3	2	true	Battlecry: Give your other minions +1 Health.As a kid, she fought with rocks. Now she fights with ROCK!
Bone Baron	Common	Minion	General	Rogue	5	5	5	true	Deathrattle: Add two 1/1 Skeletons to your hand."Oil," "Rail," and "Blubber" were already taken.
Bonemare	Common	Minion	General	Any	8	5	5	true	Battlecry: Give a friendly minion +4/+4 and Taunt.Attacks her job with unbridled enthusiasm.
Breath of Sindragosa	Common	Spell		Mage	1	-1	-1	true	Deal 2 damage to a random enemy minion and Freeze it.Is it cold in here or is it just Sindragosa?
Brrrloc	Common	Minion	Murloc	Shaman	2	2	2	true	Battlecry: Freeze an enemy.He may be frozen fish, but he fights fresh!
C'Thun's Chosen	Common	Minion	General	Any	4	4	2	true	Divine Shield. Battlecry: Give your C'Thun +2/+2 (wherever it is).He gave her a promise ring and everything.
Call in the Finishers	Common	Spell		Shaman	4	-1	-1	true	Summon four 1/1 Murlocs.When you really need a job done… but you don't really care if it gets done right.
Candleshot	Common	Weapon		Hunter	1	1	3	true	Immune while attacking.Once called Cahn'delar, Shortbow of the Ancient Whisker.
Carrion Grub	Common	Minion	Beast	Hunter	3	2	5	true	Carrion, my wayward grub.
Cave Hydra	Common	Minion	Beast	Hunter	3	2	4	true	Also damages the minions next to whomever this attacks.Can be upgraded into a Cave Lurker.
Cavern Shinyfinder	Common	Minion	General	Rogue	2	3	1	true	Battlecry: Draw a weapon from your deck.They call her the candled vandal.
Cheat Death	Common	Spell		Rogue	2	-1	-1	true	Secret: When a friendly minion dies, return it to your hand. It costs (2) less.Reported.
Chillblade Champion	Common	Minion	General	Paladin	4	3	2	true	ChargeLifestealIt slices, it dices, it vaporizes! The Chillblade will make a Champion out of even the lowliest gnome.
Circle of Healing	Common	Spell		Priest	0	-1	-1	true	Restore 4 Health to ALL minions.It isn't really a circle.
Cloaked Huntress	Common	Minion	General	Hunter	3	3	4	true	Your Secrets cost (0).She's practically GIVING your secrets away!
Cobalt Scalebane	Common	Minion	Dragon	Any	5	5	5	true	At the end of your turn, give another random friendly minion +3 Attack.You get a sword! And you get a sword! Everybody gets a sword!
Cold Blood	Common	Spell		Rogue	1	-1	-1	true	Give a minion +2 Attack. Combo: +4 Attack instead."I'm cold blooded, check it and see!"
Coldwraith	Common	Minion	General	Mage	3	3	4	true	Battlecry: If an enemy is Frozen, draw a card.He's freezing his bones off!
Cone of Cold	Common	Spell		Mage	4	-1	-1	true	Freeze a minion and the minions next to it, and deal 1 damage to them.Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.
Corrosive Sludge	Common	Minion	General	Any	5	5	5	true	Battlecry: Destroy your opponent's weapon.The result of centuries of terrible sanitation.
Crackling Razormaw	Common	Minion	Beast	Hunter	2	3	2	true	Battlecry: Adapt a friendly Beast.Wasn't clever enough to go AROUND the electric fence.
